TITULO;GRATUITO;FECHA;HORA;CONTENT-URL;NOMBRE-INSTALACION;CP;TIPO
55 días en Pekín;1;27/11/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0a1fe7e4fa13910VgnVCM1000001d4a900aRCRD;Centro Cultural Casa del Reloj (Arganzuela);28045;CineActividadesAudiovisuales
A Christmas Carol;0;21/12/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d9c69718bef1910VgnVCM1000001d4a900aRCRD;Casa del Lector;28045;RecitalesPresentacionesActosLiterarios
A Traveler's Needs;0;04/12/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=987f02a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Acción teatro;1;18/10/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3595e7da8b822910VgnVCM1000001d4a900aRCRD;Casa del Lector;28045;RecitalesPresentacionesActosLiterarios
Acto de entrega Premio de Poesía Francisco Quevedo 2024;1;21/11/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bde7e19c84f13910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro);28009;ConcursosCertamenes
Actuación del Coro Gospel 'Spirit to All';1;30/11/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=46fcf124782d2910VgnVCM1000001d4a900aRCRD;Centro Cultural el Torito (Moratalaz);28030;Musica
Adornos navideños con materiales reutilizados;1;13/12/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f076385f79ca2910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
Adornos navideños con materiales reutilizados;1;20/12/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d24511ec62f33910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
Agrupación musical de pulso y púa Calle del Barquillo;1;30/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc9cf748907f2910VgnVCM1000001d4a900aRCRD;Centro Cultural Hortaleza;28033;Musica
Aires de Irlanda;1;30/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=993e9c38dc8b2910VgnVCM2000001f4a900aRCRD;Centro Cultural Ciudad Pegaso (San Blas - Canillejas);28022;Musica
Alas Rotas;1;25/11/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c009602d204b2910VgnVCM2000001f4a900aRCRD;Centro Cultural Casa de Vacas (Retiro);28009;DanzaBaile
Alas rotas;1;29/11/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=efd12e674f813910VgnVCM1000001d4a900aRCRD;Centro Cultural Emilia Pardo Bazán (Salamanca);28001;TeatroPerformance
Alberto Cortés «Analphabet»;0;27/02/2025;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=20b102a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Alimentación saludable para la vida silvestre. Comederos para aves;1;07/12/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=019315be70332910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
