zipCode_unlock,month,total_trips_per_month
28001,1,11189
28001,2,12197
28001,3,12208
28001,4,12141
28001,5,20324
28001,6,19635
28001,7,17881
28001,8,11701
28001,9,19485
28001,10,18408
28001,11,14293
28001,12,10006
28002,1,4831
28002,2,5636
28002,3,5753
28002,4,5278
28002,5,9361
28002,6,8588
28002,7,7799
28002,8,5230
28002,9,8924
28002,10,9160
28002,11,7024
28002,12,4845
28003,1,11172
28003,2,12906
28003,3,12964
28003,4,12278
28003,5,20984
28003,6,19965
28003,7,18380
28003,8,11647
28003,9,20654
28003,10,20109
28003,11,17135
28003,12,11193
28004,1,16392
28004,2,18891
28004,3,18893
28004,4,18958
28004,5,31757
28004,6,28518
28004,7,26103
28004,8,18753
28004,9,28424
28004,10,28933
28004,11,25038
28004,12,17208
28005,1,18903
28005,2,21381
28005,3,20223
28005,4,21667
28005,5,36465
28005,6,31495
28005,7,28609
28005,8,20488
28005,9,32277
28005,10,32448
28005,11,27096
28005,12,19137
28006,1,7512
28006,2,8496
28006,3,9088
28006,4,8445
28006,5,13280
28006,6,11978
28006,7,10318
28006,8,7915
28006,9,14371
28006,10,12857
28006,11,11430
28006,12,7638
28007,1,13441
28007,2,14963
28007,3,14625
28007,4,14399
28007,5,24175
28007,6,21284
28007,7,18763
28007,8,13781
28007,9,21523
28007,10,21254
28007,11,18476
28007,12,13403
28008,1,6651
28008,2,7499
28008,3,7244
28008,4,7467
28008,5,14470
28008,6,13728
28008,7,11852
28008,8,8201
28008,9,14459
28008,10,13155
28008,11,10523
28008,12,6966
28009,1,15894
28009,2,16743
28009,3,16621
28009,4,16675
28009,5,27651
28009,6,25269
28009,7,23808
28009,8,15535
28009,9,25955
28009,10,25578
28009,11,21269
28009,12,14893
28010,1,6698
28010,2,8244
28010,3,8042
28010,4,7777
28010,5,13775
28010,6,13704
28010,7,11976
28010,8,7699
28010,9,13324
28010,10,13135
28010,11,10617
28010,12,7277
28011,1,2695
28011,2,2933
28011,3,3037
28011,4,3503
28011,5,5997
28011,6,5044
28011,7,4829
28011,8,3632
28011,9,5510
28011,10,4799
28011,11,4020
28011,12,2855
28012,1,17916
28012,2,20978
28012,3,21099
28012,4,21160
28012,5,34943
28012,6,32914
28012,7,29831
28012,8,22202
28012,9,33659
28012,10,32421
28012,11,26201
28012,12,19052
28013,1,8537
28013,2,9699
28013,3,9832
28013,4,11142
28013,5,20031
28013,6,16460
28013,7,15595
28013,8,11409
