zipCode_unlock,week_number,total_trips_per_week
28001,1,1860
28001,2,2653
28001,3,2813
28001,4,3018
28001,5,3027
28001,6,3116
28001,7,3258
28001,8,2831
28001,9,2901
28001,10,2919
28001,11,2693
28001,12,2159
28001,13,2969
28001,14,3058
28001,15,2143
28001,16,2792
28001,17,3466
28001,18,3477
28001,19,6885
28001,20,3894
28001,21,4457
28001,22,4490
28001,23,4495
28001,24,4440
28001,25,4515
28001,26,4445
28001,27,4641
28001,28,4080
28001,29,4102
28001,30,3588
28001,31,2815
28001,32,2731
28001,33,1066
28001,34,3227
28001,35,3956
28001,36,4474
28001,37,4544
28001,38,4842
28001,39,4487
28001,40,4857
28001,41,3999
28001,42,3782
28001,43,4362
28001,44,3362
28001,45,3306
28001,46,3114
28001,47,3225
28001,48,3333
28001,49,1565
28001,50,2115
28001,51,2768
28001,52,2353
28002,1,700
28002,2,1317
28002,3,1194
28002,4,1258
28002,5,1338
28002,6,1411
28002,7,1484
28002,8,1406
28002,9,1362
28002,10,1323
28002,11,1281
28002,12,1057
28002,13,1414
28002,14,1384
28002,15,887
28002,16,1162
28002,17,1517
28002,18,1597
28002,19,3110
28002,20,2056
28002,21,1920
28002,22,1861
28002,23,1993
28002,24,1983
28002,25,2022
28002,26,1954
28002,27,2189
28002,28,1743
28002,29,1674
28002,30,1495
28002,31,1238
28002,32,1093
28002,33,444
28002,34,1501
28002,35,1963
28002,36,2000
28002,37,2068
28002,38,2193
28002,39,2113
28002,40,2368
28002,41,1967
28002,42,1677
28002,43,2436
28002,44,1865
28002,45,1666
28002,46,1453
28002,47,1396
28002,48,1676
28002,49,808
28002,50,1029
28002,51,1344
28002,52,1039
28003,1,1620
28003,2,2850
28003,3,2911
28003,4,3044
28003,5,3088
28003,6,3354
28003,7,3397
28003,8,3068
28003,9,3117
28003,10,2924
28003,11,2790
28003,12,2455
28003,13,3318
28003,14,3318
28003,15,1940
28003,16,2978
28003,17,3195
28003,18,3568
28003,19,7361
28003,20,4067
28003,21,4381
28003,22,4476
28003,23,4803
28003,24,4608
28003,25,4483
28003,26,4504
28003,27,4754
28003,28,4418
28003,29,3999
28003,30,3545
28003,31,2899
28003,32,2693
28003,33,1045
28003,34,3026
28003,35,4219
28003,36,4582
28003,37,4850
28003,38,5294
28003,39,4747
28003,40,5120
28003,41,4477
28003,42,4184
28003,43,4812
28003,44,4068
28003,45,3922
28003,46,3790
28003,47,3843
28003,48,4014
28003,49,1972
28003,50,2583
28003,51,2686
28003,52,2227
28004,1,2433
28004,2,4066
28004,3,4374
28004,4,4336
28004,5,4617
28004,6,4780
28004,7,4957
28004,8,4540
28004,9,4359
28004,10,4340
28004,11,4266
28004,12,3694
28004,13,4903
28004,14,4913
28004,15,3511
28004,16,4205
28004,17,5021
28004,18,5611
28004,19,10703
28004,20,6452
28004,21,6561
28004,22,6559
28004,23,6765
28004,24,6693
28004,25,6392
28004,26,6395
28004,27,6144
28004,28,6000
28004,29,5979
28004,30,5373
28004,31,4634
28004,32,4610
28004,33,1793
28004,34,4921
28004,35,6395
28004,36,6003
28004,37,6885
28004,38,7142
28004,39,6641
28004,40,7404
28004,41,6559
28004,42,5645
28004,43,6865
28004,44,6052
28004,45,5798
28004,46,5450
28004,47,5731
28004,48,5417
28004,49,3065
28004,50,3779
28004,51,4216
28004,52,3921
28005,1,3080
28005,2,4893
28005,3,4718
28005,4,4876
28005,5,5282
28005,6,5519
28005,7,5607
28005,8,4997
28005,9,4905
28005,10,4691
28005,11,4374
28005,12,3836
28005,13,5334
28005,14,5710
28005,15,4178
28005,16,4935
28005,17,5358
28005,18,6157
28005,19,13297
28005,20,7366
28005,21,6937
28005,22,6998
28005,23,7348
28005,24,7411
28005,25,7207
28005,26,7458
28005,27,7434
28005,28,6565
28005,29,5940
28005,30,5662
28005,31,5338
28005,32,4656
28005,33,2037
28005,34,5387
28005,35,6899
28005,36,7299
28005,37,7350
28005,38,8115
28005,39,7981
28005,40,8099
28005,41,7347
28005,42,6710
28005,43,7296
28005,44,6197
28005,45,6388
28005,46,5906
28005,47,6100
28005,48,6681
28005,49,3448
28005,50,3825
28005,51,4641
28005,52,4416
28006,1,1063
28006,2,1938
28006,3,1938
28006,4,2050
28006,5,2084
28006,6,2147
28006,7,2183
28006,8,2103
28006,9,2092
28006,10,2170
28006,11,1982
28006,12,1618
28006,13,2359
28006,14,2411
28006,15,1407
28006,16,1830
28006,17,2161
28006,18,2139
28006,19,4661
28006,20,2575
28006,21,2866
28006,22,2794
28006,23,2803
28006,24,2757
28006,25,2829
28006,26,2633
28006,27,2709
28006,28,2467
28006,29,2166
28006,30,2006
28006,31,1941
28006,32,1787
28006,33,684
28006,34,2107
28006,35,2837
28006,36,3160
28006,37,3194
28006,38,3771
28006,39,3443
28006,40,3460
28006,41,2827
28006,42,2659
28006,43,3014
28006,44,2450
28006,45,2589
28006,46,2454
28006,47,2651
28006,48,2864
28006,49,1112
28006,50,1742
28006,51,2122
28006,52,1519
28007,1,2159
28007,2,3557
28007,3,3369
28007,4,3307
28007,5,3580
28007,6,3870
28007,7,3981
28007,8,3581
28007,9,3338
28007,10,3369
28007,11,3318
28007,12,2691
28007,13,3719
28007,14,3914
28007,15,2577
28007,16,3216
28007,17,3808
28007,18,4184
28007,19,8447
28007,20,4657
28007,21,5004
28007,22,4879
28007,23,4972
28007,24,4778
28007,25,4979
28007,26,4909
28007,27,4510
28007,28,4187
28007,29,4269
28007,30,3988
28007,31,3559
28007,32,3368
28007,33,1414
28007,34,3326
28007,35,4628
28007,36,4737
28007,37,4764
28007,38,5635
28007,39,4870
28007,40,5301
28007,41,4797
28007,42,4769
28007,43,4915
28007,44,3962
28007,45,4342
28007,46,4077
28007,47,4251
28007,48,4504
28007,49,2208
28007,50,2778
28007,51,3639
28007,52,3126
28008,1,995
28008,2,1666
28008,3,1617
28008,4,1779
28008,5,1858
28008,6,1911
28008,7,1977
28008,8,1780
28008,9,1703
28008,10,1743
28008,11,1629
28008,12,1321
28008,13,1783
28008,14,1839
28008,15,1647
28008,16,1617
28008,17,2016
28008,18,2483
28008,19,5091
28008,20,2940
28008,21,2832
28008,22,3020
28008,23,3350
28008,24,3223
28008,25,3062
28008,26,3142
28008,27,2686
28008,28,2684
28008,29,2703
28008,30,2486
28008,31,2051
28008,32,1944
28008,33,843
28008,34,2145
28008,35,2820
28008,36,3118
28008,37,3694
28008,38,3775
28008,39,3295
28008,40,3318
28008,41,2962
28008,42,2445
28008,43,3163
28008,44,2537
28008,45,2549
28008,46,2270
28008,47,2272
28008,48,2195
28008,49,1051
28008,50,1516
28008,51,1845
28008,52,1824
28009,1,2579
28009,2,4023
28009,3,4047
28009,4,4122
28009,5,4099
28009,6,4243
28009,7,4351
28009,8,4085
28009,9,3975
28009,10,3887
28009,11,3552
28009,12,3012
28009,13,4419
28009,14,4499
28009,15,2909
28009,16,3745
28009,17,4320
28009,18,4727
28009,19,9420
28009,20,5280
28009,21,6055
28009,22,6131
28009,23,6103
28009,24,5437
28009,25,5702
28009,26,5668
28009,27,5945
28009,28,5657
28009,29,5483
28009,30,4624
28009,31,3950
28009,32,3638
28009,33,1405
28009,34,3924
28009,35,5525
28009,36,5791
28009,37,6110
28009,38,6401
28009,39,6005
28009,40,6525
28009,41,5825
28009,42,5335
28009,43,6046
28009,44,5003
28009,45,4864
28009,46,4713
28009,47,4762
28009,48,4904
28009,49,2347
28009,50,3058
28009,51,4081
28009,52,3580
28010,1,914
28010,2,1768
28010,3,1696
28010,4,1840
28010,5,1952
28010,6,2099
28010,7,2250
28010,8,1953
28010,9,1973
28010,10,1779
28010,11,1746
28010,12,1484
28010,13,2044
28010,14,2089
28010,15,1255
28010,16,1848
28010,17,2116
28010,18,2340
28010,19,4645
28010,20,2669
28010,21,3014
28010,22,3109
28010,23,3152
28010,24,3045
28010,25,3052
28010,26,3284
28010,27,3130
28010,28,2853
28010,29,2555
28010,30,2370
28010,31,1924
28010,32,1628
28010,33,710
28010,34,2181
28010,35,2753
28010,36,2948
28010,37,2972
28010,38,3504
28010,39,3062
28010,40,3411
28010,41,2849
28010,42,2737
28010,43,3184
28010,44,2471
28010,45,2564
28010,46,2332
28010,47,2324
28010,48,2321
28010,49,1128
28010,50,1752
28010,51,1969
28010,52,1520
28011,1,373
28011,2,683
28011,3,706
28011,4,739
28011,5,814
28011,6,744
28011,7,725
28011,8,659
28011,9,733
28011,10,690
28011,11,629
28011,12,602
28011,13,821
28011,14,886
28011,15,754
28011,16,756
28011,17,896
28011,18,1033
28011,19,2054
28011,20,1255
28011,21,1228
28011,22,1127
28011,23,1226
28011,24,1134
28011,25,1141
28011,26,1216
28011,27,1189
28011,28,1080
