zipCode_unlock,total_trips
28001,179468
28002,82429
28003,189387
28004,277868
28005,310189
28006,123328
28007,210087
28008,122215
28009,245891
28010,122268
28011,48854
28012,312376
28013,161832
28014,127731
28015,247091
28016,48471
28017,18022
28018,120
28019,54657
28020,94489
28022,86
28024,13
28025,92
28026,33608
28027,35418
28028,154494
28029,7380
28030,30918
28031,43
28032,61
28033,394
28034,234
28035,165
28036,497
28037,368
28038,5323
28039,85909
28040,44411
28041,98
28042,79
28043,515
28044,7
28045,218715
28046,122283
28047,135
28049,143
28050,578
28052,3
28053,17285
28054,5
28055,75
28108,5
